blk_no,street,bldg_contract_town,lat,lon,postal,full_address
10,LOR 7 TOA PAYOH,TP,1.337165276,103.8572288,310010,10 LORONG 7 TOA PAYOH TOA PAYOH COURT SINGAPORE 310010
10,MARSILING DR,WL,1.440805674,103.7773186,730010,10 MARSILING DRIVE MARSILING GARDENS SINGAPORE 730010
10,NTH BRIDGE RD,KWN,1.30555234,103.8635628,190010,10 NORTH BRIDGE ROAD SINGAPORE 190010
10,PINE CL,GL,1.309152394,103.8822425,391010,10 PINE CLOSE SINGAPORE 391010
10,SELEGIE RD,CT,1.303708794,103.8505372,180010,10 SELEGIE ROAD SELEGIE HOUSE SINGAPORE 180010
10,ST. GEORGE'S RD,KWN,1.323746488,103.8634122,320010,10 SAINT GEORGE'S ROAD SAINT GEORGE'S EAST GARDENS SINGAPORE 320010
10,TECK WHYE AVE,CCK,1.380470546,103.7552111,680010,10 TECK WHYE AVENUE PCF SPARKLETOTS PRESCHOOL @ CHUA CHU KANG BLK 10 (KN) SINGAPORE 680010
10,TELOK BLANGAH CRES,BM,1.277731532,103.8197694,90010,10 TELOK BLANGAH CRESCENT SINGAPORE 090010
10,TOH YI DR,BT,1.337539566,103.7731611,590010,10 TOH YI DRIVE TOH YI GARDENS SINGAPORE 590010
10A,BENDEMEER RD,KWN,1.314991389,103.8605054,331010,10A BENDEMEER ROAD BENDEMEER LIGHT SINGAPORE 331010
10A,BOON TIONG RD,BM,1.286358471,103.8296262,160010,10A BOON TIONG ROAD TIONG BAHRU VIEW SINGAPORE 160010
10B,BEDOK STH AVE 2,BD,1.322353866,103.9361833,461010,10B BEDOK SOUTH AVENUE 2 SINGAPORE 461010
10B,BENDEMEER RD,KWN,1.315477153,103.8603129,332010,10B BENDEMEER ROAD BENDEMEER LIGHT SINGAPORE 332010
10B,BOON TIONG RD,BM,1.286336847,103.8292048,164010,10B BOON TIONG ROAD TIONG BAHRU VIEW SINGAPORE 164010
10B,LOR 7 TOA PAYOH,TP,1.337161364,103.8583536,312010,10B LORONG 7 TOA PAYOH TOA PAYOH COURT SINGAPORE 312010
10C,BEDOK STH AVE 2,BD,1.322094236,103.9362236,462010,10C BEDOK SOUTH AVENUE 2 SINGAPORE 462010
10C,BENDEMEER RD,KWN,1.315842362,103.8606445,333010,10C BENDEMEER ROAD BENDEMEER LIGHT SINGAPORE 333010
